Rank,Competitor,DOB,Nat,Pos,Venue,Date,World Athletics Event Ranking Score,Men 100,Men 100 Wind,Men 100 Score,Men LJ,Men LJ Wind,Men LJ Score,Men SP,Men SP Score,Men HJ,Men HJ Score,Men 400,Men 400 Score,Men 110h,Men 110h Wind,Men 110h Score,Men DT,Men DT Score,Men PV,Men PV Score,Men JT,Men JT Score,Men 1500,Men 1500 Score,Overall Score
134,Kurt FELIX,7/4/1988,GRN,4,"Alexander Stadium, Birmingham (GBR)",8/5/2022,1093,11.01,0,858,7.33,1.8,893,14.53,761,2.00,803,49.67,830,15.06,1.2,842,45.59,779,4.30,702,60.78,750,04:58.4,569.42,7787
76,Rickey MOODY,7/9/1985,USA,4,"Austin, TX (USA)",4/3/2008,1093,10.81,1.8,903,7.54,1.3,945,13.84,719,2.02,822,51.05,767,14.55,3.3,905,46.27,793,4.25,688,60.20,741,05:09.9,504.73,7787
76,Roland SCHWARZL,12/10/1980,AUT,3,Kladno (CZE),6/19/2008,1093,11.29,-1,797,7.41,1.5,913,14.86,781,1.95,758,51.20,760,14.70,-2.2,886,44.79,763,4.95,895,50.31,593,04:46.2,641.96,7787
79,Ingmar VOS,5/28/1986,NED,1f1,Ashford (GBR),7/27/2008,1093,11.06,1.3,847,7.38,,905,13.39,691,1.98,785,49.98,816,14.79,0.6,875,38.55,635,4.20,673,64.74,809,04:29.2,750.17,7786
100,Kyle CRANSTON,9/3/1992,AUS,2,Gold Coast (AUS),2/17/2018,1093,10.96,1.7,870,7.26,0.6,876,13.66,708,1.92,731,50.65,785,14.82,-1.4,871,43.99,746,4.50,760,60.89,751,04:38.7,688.88,7786
113,Kurtis BRONDYKE,1/24/1989,USA,7,"Drake Stadium, Des Moines, IA (USA)",7/26/2019,1093,11.11,1.8,836,7.18,1.6,857,14.53,761,1.91,723,50.10,810,14.64,3.6,894,43.41,734,4.60,790,62.02,768,04:51.0,612.97,7785
120,Mitch MODIN,4/12/1995,USA,7,"Hayward Field, Eugene, OR (USA)",7/3/2016,1093,10.87,1.2,890,7.42,2.7,915,13.92,723,1.97,776,49.67,830,14.55,1,905,38.1,626,4.75,834,57.87,706,04:56.5,580.61,7785
103,Mat CLARK,5/31/1987,USA,1,"Terre Haute, IN (USA)",5/16/2009,1093,11.03,2.2,854,7.17,2,854,12.55,640,2.04,840,49.11,856,15.87,-0.1,747,40.64,678,4.95,895,55.19,666,04:28.5,755.18,7785
120,Cedric DUBLER,1/13/1995,AUS,1,Brisbane (AUS),1/10/2016,1093,10.96,-0.1,870,7.37,0.4,903,12.30,625,2.12,915,49.01,861,14.56,0,903,38.31,630,4.80,849,54.32,653,04:57.3,576.11,7785
103,Eduard MIKHAN,6/7/1989,BLR,4,Kaunas (LTU),7/17/2009,1093,11.1,1.7,838,7.36,1.7,900,13.59,703,1.91,723,48.54,883,15.06,1.8,842,41.36,692,4.60,790,52.63,628,04:23.8,786.51,7785
135,Benjamin HOUGARDY,12/8/1995,BEL,3,Montpellier (FRA),6/5/2022,1093,11.02,1.4,856,7.35,0.5,898,13.28,684,2.03,831,48.50,885,14.72,0.3,884,38.32,630,4.60,790,50.77,600,04:32.7,727.41,7785
112,Jose Fernando FERREIRA SANTANA,3/27/1999,BRA,,"Stadion AWF Warszawa, Warszawa (POL)",6/27/2021,1093,10.95,1.5,872,7.23,1.9,869,13.14,676,1.93,740,49.58,834,14.59,1.8,900,41.81,701,4.70,819,66.67,839,05:04.5,534.31,7784
96,Kristjan RAHNU,8/29/1979,EST,5,Tallinn (EST),7/4/2004,1093,10.92,1,878,7.21,1,864,15.12,797,1.91,723,50.76,780,14.52,-2.8,908,47.75,824,4.40,731,61.32,758,05:06.8,521.59,7784
102,Thomas WALSER,2/9/1978,AUT,14,Götzis (AUT),6/2/2002,1093,10.89,-0.5,885,6.95,-0.5,802,15.50,820,1.91,723,49.97,816,14.94,0.7,857,43.64,739,4.20,673,60.42,744,04:32.9,725.92,7784
96,Jiří RYBA,6/15/1976,CZE,3,Desenzano del Garda (ITA),5/9/2004,1093,11.47,3.1,759,6.84,2.3,776,14.13,736,2.00,803,50.04,813,14.86,1,867,43.1,728,4.70,819,58.62,717,04:26.8,766.18,7784
114,Georni JARAMILLO,3/6/1989,VEN,1,Lima (PER),5/25/2019,1093,10.84,-0.2,897,7.41,0,913,15.97,849,1.83,653,49.43,841,14.15,0,955,40.75,680,4.40,731,58.40,714,05:01.5,551.51,7784
122,Paweł WIESIOŁEK,8/13/1991,POL,21,"Estádio Olímpico, Rio de Janeiro (BRA)",8/18/2016,1093,10.88,-0.8,888,6.73,0.7,750,14.17,739,2.01,813,50.18,806,15.09,0.1,839,48.32,835,4.50,760,56.68,688,04:42.3,666.57,7784
136,Sven ROOSEN,7/27/2001,NED,12,"Mösle-Stadium, Götzis (AUT)",5/29/2022,1093,10.9,-0.9,883,7.19,0.6,859,13.73,712,1.88,696,48.07,906,14.72,-0.5,884,41.07,686,4.30,702,55.10,664,04:22.9,792.71,7784
80,Iván Scolfaro CAETANO DA SILVA,7/30/1982,BRA,2,Santo Domingo (DOM),6/1/2008,1093,11.15,1.9,827,7.21,1.8,864,13.45,695,1.97,776,50.43,795,14.81,1.4,873,40.45,674,4.70,819,58.25,712,04:29.5,748.72,7783
111,Pau TONNESEN,10/24/1992,USA,2,"Tucson, AZ (USA)",4/10/2015,1093,11.32,0.2,791,7.29,0,883,14.81,778,2.05,850,50.85,776,15.14,0,833,46.31,794,4.80,849,53.13,635,04:54.1,594.67,7783
92,Mikhail LOGVINENKO,4/19/1984,RUS,2,Asikkala (FIN),7/15/2010,1093,11.31,0.6,793,7.11,0.8,840,13.21,680,1.96,767,49.03,860,14.22,1.2,946,44.64,759,4.90,880,43.90,499,04:27.9,759.01,7783
116,Tim NOWAK,8/13/1995,GER,2,Filderstadt (GER),6/11/2017,1092,11.09,0.8,841,7.04,-0.1,823,14.20,741,1.93,740,49.58,834,14.97,-2.4,853,39.12,647,4.70,819,61.19,756,04:32.7,727.74,7781
103,Maicel UIBO,12/27/1992,EST,1,"Columbia, SC (USA)",5/10/2013,1092,11.02,1.7,856,7.53,0.2,942,13.56,701,2.03,831,50.61,787,14.78,1,876,41.32,691,4.75,834,57.15,695,04:58.6,568.37,7781
93,Mark JELLISON,4/25/1980,USA,1,"Claremont, CA (USA)",5/14/2010,1092,11.27,1.3,801,7.49,2.4,932,14.01,729,2.05,850,51.17,761,14.61,2,897,41.01,685,4.80,849,53.13,635,04:46.2,642.08,7781
128,Brent NEWDICK,1/31/1985,NZL,2,"Stadio Tre Stelle, Desenzano del Garda (ITA)",5/8/2011,1092,11.32,-1.7,791,7.09,-0.5,835,14.33,749,1.89,705,50.42,795,14.74,3.3,881,44.21,751,4.65,804,62.12,770,04:37.1,699.11,7780
88,Jaakko OJANIEMI,8/28/1980,FIN,11,Arles (FRA),7/2/2006,1092,10.91,1,881,7.35,1.6,898,14.96,787,1.94,749,49.71,828,15.03,1.4,846,40.34,671,4.10,645,61.80,765,04:35.3,710.50,7780
115,Gabriel MOORE,1/10/1996,USA,3,"Austin, TX (USA)",6/6/2019,1092,10.99,0.2,863,7.01,0.6,816,14.73,773,1.92,731,49.45,840,15.02,-0.1,847,46.21,792,4.41,734,59.53,731,04:44.3,653.72,7780
88,Chris BOYLES,5/2/1980,USA,4,"Indianapolis, IN (USA)",6/24/2006,1092,11.42,-0.4,769,7.22,-0.1,866,14.41,753,2.11,906,50.91,773,15.04,-0.9,845,42.74,720,4.70,819,59.02,723,04:52.1,606.38,7780
113,Arseniy YELFIMOV,9/17/2001,RUS,2,"Yunost Stadium, Adler, Sochi (RUS)",9/7/2021,1092,11.26,-0.1,804,7.32,0.2,891,14.39,752,2.00,803,49.72,828,15.18,-1.8,828,45.09,769,4.90,880,53.09,634,04:54.7,591.19,7780
117,Dennis HUTTERER,5/4/1996,GER,7,Bydgoszcz (POL),7/16/2017,1092,11.02,0.7,856,7.17,-0.9,854,14.23,742,1.99,794,50.05,812,14.91,-0.3,860,47.14,811,4.60,790,50.87,601,04:43.3,660.16,7780
95,Chris HELWICK,3/18/1985,USA,1,"Knoxville, TN (USA)",4/8/2010,1092,11.12,3.4,834,6.80,2.1,767,13.96,726,1.98,785,50.73,781,14.95,2,856,41.79,701,4.80,849,61.60,762,04:34.0,718.74,7779
105,Aleksandr ZYABREV,5/16/1987,RUS,5,Kaunas (LTU),7/17/2009,1092,11.07,1.7,845,7.29,1.4,883,14.33,749,1.88,696,48.87,867,14.78,0.2,876,38.82,641,4.50,760,57.71,703,04:27.9,759.01,7779
105,Mikk-Mihkel ARRO,3/28/1984,EST,10,Szczecin (POL),6/28/2009,1092,10.9,-0.6,883,7.33,-0.2,893,14.26,744,1.92,731,50.72,782,14.60,0.9,899,41.51,695,4.60,790,55.39,669,04:37.9,693.95,7779
118,Cedric DUBLER,1/13/1995,AUS,1,Sydney (AUS),3/31/2017,1092,10.93,1.2,876,7.25,-0.4,874,11.14,554,2.04,840,49.56,835,14.53,0,907,40.43,673,5.10,941,54.18,651,04:48.5,628.12,7779
112,Felipe DOS SANTOS,7/30/1994,BRA,2,Sao Bernardo do Campo (BRA),5/16/2015,1092,10.6,0.1,952,7.54,0.6,945,13.13,675,1.95,758,48.68,876,14.53,-0.8,907,42.78,721,4.40,731,53.16,635,04:56.7,579.20,7779
123,Kevin LAZAS,1/25/1992,USA,1,"Baton Rouge, LA (USA)",5/11/2012,1092,11.14,-1.3,830,7.55,0.3,947,14.51,760,1.93,740,52.03,723,15.14,-0.9,833,39.48,654,5.15,957,57.63,702,04:47.9,632.07,7778
82,Carlos Eduardo BEZERRA CHININ,5/3/1985,BRA,13,"Mösle-Stadium, Götzis (AUT)",6/1/2008,1092,10.98,0.6,865,7.37,-0.1,903,12.93,663,2.09,887,49.33,846,14.57,0,902,37.72,618,4.30,702,55.42,669,04:33.3,723.46,7778
116,Jérémy LELIÈVRE,2/8/1991,FRA,5,"Stade Pierre Paul Bernard, Talence (FRA)",6/23/2019,1092,10.95,0.7,872,7.14,-2.1,847,14.69,771,1.86,679,49.47,839,15.02,-1.3,847,43.49,736,4.65,804,51.38,609,04:25.6,774.11,7778
104,Indrek KASEORG,12/16/1967,EST,5,Desenzano del Garda (ITA),5/12/2002,1092,11.56,-0.1,740,7.17,0.7,854,13.54,700,2.00,803,49.47,839,14.61,0.9,897,42.14,708,4.70,819,64.68,808,04:51.6,609.61,7777
114,Marvin BOLLINGER,10/7/1996,GER,,"Stadion Breitwies, Püttlingen (GER)",7/4/2021,1092,11.24,-0.4,808,7.22,1.7,866,14.27,745,1.99,794,51.60,742,15.08,0,840,36.67,597,5.10,941,62.48,775,04:41.9,669.07,7777
124,Matthias PREY,8/9/1988,GER,2,Marburg (GER),7/22/2012,1092,11.28,1.1,799,7.48,1.9,930,15.08,795,1.86,679,50.64,785,14.67,-0.3,890,47.59,820,4.05,631,59.22,726,04:33.5,722.42,7777
119,Ruben GADO,12/13/1993,FRA,3,Marseille (FRA),7/15/2017,1092,11.17,-1.6,823,7.29,6.1,883,12.88,660,1.97,776,49.93,818,15.46,-1.2,795,39.58,656,5.00,910,55.60,672,04:24.0,784.97,7777
107,Moritz CLEVE,2/18/1987,GER,26,"Olympiastadion, Berlin (GER)",8/20/2009,1092,11.06,-0.3,847,7.27,0.3,878,14.12,736,1.87,687,49.17,853,14.54,-0.1,906,39.62,657,4.60,790,54.26,652,04:26.0,771.84,7777
123,Jonas FRINGELI,1/12/1988,SUI,1,Hochdorf (SUI),9/25/2016,1092,11.17,0,823,7.15,-0.2,850,14.40,753,1.95,758,49.69,829,14.72,0,884,41.75,700,4.90,880,48.40,565,04:31.5,735.48,7777
108,Lars Vikan RISE,11/23/1988,NOR,5,"Fayetteville, AR (USA)",6/11/2009,1092,11.09,2.7,841,7.46,3.4,925,15.94,848,1.72,560,49.99,815,15.23,0.1,822,46.04,788,4.60,790,58.89,721,04:42.2,666.76,7776
124,James TURNER,4/9/1993,CAN,2,"Azusa, CA (USA)",4/14/2016,1092,11.04,0.4,852,7.42,1.2,915,13.48,697,1.87,687,49.60,833,15.03,0.9,846,43.34,733,4.80,849,57.74,704,04:43.3,660.35,7776
137,Larbi BOURRADA,5/10/1988,ALG,1,"Cote d'Or National Sports Complex, St Pierre (MRI)",6/11/2022,1092,10.98,3.7,865,7.38,2.2,905,13.14,676,1.93,740,49.61,833,14.43,2.9,920,40.22,669,4.80,849,56.48,685,04:47.5,634.20,7776
124,Austin BAHNER,7/7/1991,USA,8,"Hayward Field, Eugene, OR (USA)",7/3/2016,1092,10.84,1.2,897,7.38,0.9,905,13.86,720,1.88,696,49.87,821,15.52,1.4,788,45.49,777,4.85,865,54.59,657,04:44.9,650.07,7776
105,Claston BERNARD,3/22/1979,JAM,8,Talence (FRA),9/22/2002,1092,10.96,-0.8,870,7.03,0.9,821,15.28,807,2.09,887,50.25,803,14.68,0.4,889,46.28,793,3.85,576,53.37,639,04:38.3,691.29,7776
120,Jefferson DOS SANTOS,8/30/1995,BRA,1,Sao Bernardo do Campo (BRA),6/10/2017,1092,11.07,-0.1,845,7.15,0,850,13.82,717,2.10,896,49.64,831,14.55,0.8,905,41.59,697,4.60,790,51.03,604,04:46.3,641.84,7776
101,José Gregorio LEMUS,6/4/1991,COL,5,"Stadio Luigi Ridolfi, Firenze (ITA)",4/28/2018,1091,11.39,-0.5,776,6.51,0.9,700,16.20,864,1.95,758,50.72,782,14.52,0,908,51.21,896,4.05,631,65.83,826,04:47.4,634.68,7775
106,Florian SCHÖNBECK,1/13/1974,GER,6,Desenzano del Garda (ITA),5/12/2002,1091,11.42,-0.1,769,7.16,0,852,13.80,716,1.79,619,50.31,800,14.63,0.9,895,44.46,756,5.10,941,60.01,738,04:38.6,689.38,7775
100,Rudy BOURGUIGNON,7/16/1979,FRA,6,"Stade Pierre Paul Bernard, Talence (FRA)",9/23/2007,1091,11.34,0.2,786,7.15,0,850,14.09,734,1.92,731,50.51,791,15.57,-0.2,782,44.51,757,5.15,957,59.17,725,04:43.0,662.02,7775
83,Ludo VAN DER PLAAT,7/3/1983,NED,6,"Blankers-Koen Stadion, Hengelo (NED)",6/29/2008,1091,10.98,0.6,865,7.18,1.4,857,14.10,734,1.95,758,50.14,808,15.52,0,788,40.95,684,4.90,880,65.31,818,04:56.2,582.42,7774
117,Nathan HITE,5/14/1996,USA,1,"Austin, TX (USA)",3/28/2019,1091,10.78,2.4,910,6.97,0.8,807,14.03,730,1.92,731,48.67,877,14.91,1.8,860,42.96,725,4.70,819,54.74,659,04:43.9,656.62,7774
138,Arthur PREVOST,5/28/1998,FRA,5,"Stadio Zecchini, Grosseto (ITA)",5/1/2022,1091,10.66,1.9,938,7.24,1.6,871,13.55,701,1.89,705,47.60,929,14.90,-0.6,862,37.51,614,4.85,865,51.12,605,04:39.5,684.20,7774
138,Arthur PREVOST,5/28/1998,FRA,2,"Stade Helitas, Caen (FRA)",6/25/2022,1091,10.92,0.1,878,7.34,-0.2,896,13.41,692,1.96,767,47.51,933,15.63,0.7,775,38.7,638,5.00,910,50.67,599,04:39.0,686.79,7774
85,Hamdi DHOUIBI,1/24/1982,TUN,3,Salo (ITA),5/8/2005,1091,10.88,-1.3,888,7.12,-0.1,842,12.16,616,1.97,776,47.99,910,14.76,-1.7,879,41.53,696,4.90,880,49.45,580,04:35.9,707.16,7774
113,Liam RAMSAY,11/18/1992,GBR,8,Aubagne (FRA),7/5/2015,1091,10.91,-0.1,881,7.18,-0.2,857,12.91,662,2.01,813,47.27,945,14.71,-0.8,885,38.66,637,4.60,790,48.74,570,04:31.6,734.31,7774
108,Pieter BRAUN,1/21/1993,NED,3,"Stadio Luigi Ridolfi, Firenze (ITA)",5/3/2014,1091,11.18,0.2,821,7.40,0.2,910,13.55,701,1.89,705,49.14,855,15.10,0.1,837,42.53,716,4.45,746,60.48,745,04:31.1,737.96,7773
129,Aleksandr TABALA,5/23/1986,RUS,4,Toruń (POL),7/3/2011,1091,11.75,0.5,701,7.05,-0.4,826,14.48,758,1.98,785,52.60,699,14.60,0.1,899,47.03,809,4.80,849,60.17,740,04:35.7,707.93,7773
114,James TURNER,4/9/1993,CAN,1,"Azusa, CA (USA)",4/16/2015,1091,10.74,2.9,919,7.40,2.1,910,13.09,673,1.91,723,49.34,845,14.71,2.7,885,42.05,706,4.20,673,57.59,702,04:31.2,737.57,7773
102,Taavi TŠERNJAVSKI,3/4/1995,EST,1,Rakvere (EST),8/16/2018,1091,11.18,0.2,821,7.14,0.2,847,14.13,736,1.97,776,49.60,833,15.03,0.5,846,44.72,761,4.58,784,56.17,680,04:38.6,689.64,7773
140,Lewis CHURCH,9/27/1996,GBR,6,"Stadio Zecchini, Grosseto (ITA)",5/1/2022,1091,11.51,-0.5,750,7.27,2.7,878,14.36,750,2.04,840,50.68,784,14.87,-0.6,865,41.02,685,4.55,775,53.25,637,04:20.4,809.07,7773
77,Lionel MARCENY,7/17/1974,FRA,3,Talence (FRA),9/21/2003,1091,11.2,-0.9,817,7.67,1.7,977,12.38,629,1.91,723,50.03,813,14.36,-1.2,929,40.25,670,4.82,856,52.98,633,04:32.9,726.44,7773
114,Akihiko NAKAMURA,10/23/1990,JPN,1,Wuhan (CHN),6/7/2015,1091,10.68,-0.9,933,7.35,0,898,11.39,569,1.98,785,47.47,935,14.40,1.2,924,33.84,541,4.60,790,52.82,630,04:26.5,768.31,7773
129,Mateo SOSSAH,4/28/1988,FRA,1,"Durham, NC (USA)",4/22/2011,1091,11.45,1,763,7.06,3.5,828,13.66,708,2.06,859,49.54,836,14.58,-1.6,901,41.91,703,4.40,731,51.31,608,04:16.5,836.20,7773
91,Chris HELWICK,3/18/1985,USA,2,"Sacramento, CA (USA)",6/8/2006,1091,11.43,-1,767,6.78,0.5,762,12.78,654,2.04,840,49.97,816,15.44,-1.3,797,43.05,727,4.80,849,65.11,815,04:29.9,745.76,7772
131,Jangy ADDY,3/2/1985,LBR,9,"Stadionring, Ratingen (GER)",7/17/2011,1091,10.6,3.4,952,7.20,1.3,862,14.61,766,1.91,723,48.99,862,14.49,-0.3,912,46.85,805,4.50,760,57.20,696,05:23.1,434.47,7772
122,Maksim KOROLYOV,1/6/1988,RUS,7,Smolensk (RUS),6/10/2017,1091,11.21,0.5,814,6.93,-0.3,797,14.56,763,1.94,749,49.77,825,15.14,1.5,833,47.89,827,4.50,760,54.73,659,04:30.0,745.04,7772
125,Luiz Alberto DE ARAUJO,6/27/1987,BRA,1,Barquisimeto (VEN),6/9/2012,1091,11.09,-0.7,841,7.28,1.4,881,14.17,739,1.95,758,48.49,886,14.28,0.5,939,43.56,737,4.60,790,52.98,633,04:58.6,568.20,7772
115,Tim EHRHARDT,3/16/1995,USA,11,"Hayward Field, Eugene, OR (USA)",6/20/2021,1091,10.99,0.8,863,7.17,1.7,854,12.74,651,2.02,822,48.62,879,15.74,0.4,762,40.24,669,5.45,1051,45.62,524,04:37.4,697.26,7772
116,José MENDIETA,10/16/1991,CUB,2,La Habana (CUB),5/27/2015,1091,11.04,0,852,7.09,2.5,835,15.02,791,1.93,740,50.60,787,14.60,1.6,899,42.18,709,4.40,731,63.74,794,04:47.6,633.89,7771
126,Petter OLSON,2/14/1991,SWE,10,"Olympiastadion, Helsinki (FIN)",6/28/2012,1091,11.02,-0.3,856,7.04,0.6,823,13.40,692,1.94,749,49.01,861,14.63,-0.5,895,39.41,653,4.80,849,56.26,682,04:35.1,711.78,7771
141,Finley GAIO,4/15/1999,SUI,9,"Stade Pierre Paul Bernard, Talence (FRA)",9/18/2022,1091,10.63,3.1,945,7.76,1,1000,13.94,725,1.93,740,48.19,900,13.68,-0.8,1016,39.1,646,4.40,731,42.83,483,04:55.6,585.53,7771
132,Andrey DEMYANOV,8/22/1986,RUS,6,Cheboksary (RUS),6/10/2011,1091,11.7,-0.8,711,7.19,,859,13.39,691,2.00,803,50.49,792,14.82,0.8,871,44.06,748,4.80,849,60.44,744,04:36.7,702.04,7770
132,Lars Vikan RISE,11/23/1988,NOR,2,"Azusa, CA (USA)",4/14/2011,1091,11.19,1.2,819,7.42,3,915,15.07,794,1.94,749,50.98,770,15.06,1.7,842,43.06,727,4.50,760,57.83,705,04:38.7,689.00,7770
87,Stephen HARRIS,12/5/1980,USA,4,"Carson, CA (USA)",6/24/2005,1090,11.25,-1.8,806,7.21,0,864,12.20,619,2.09,887,48.83,869,14.57,0,902,40.2,669,4.50,760,55.06,664,04:32.4,729.62,7769
123,Dennis HUTTERER,5/4/1996,GER,3,Filderstadt (GER),6/11/2017,1090,10.89,0.8,885,6.97,0,807,14.68,770,1.99,794,50.74,781,15.08,-0.9,840,48.31,835,4.40,731,53.09,634,04:38.1,692.49,7769
127,Björn BARREFORS,10/21/1987,SWE,8,"Des Moines, IA (USA)",6/7/2012,1090,10.93,3.2,876,7.26,-0.1,876,13.68,709,1.99,794,50.37,798,14.54,1,906,43.06,727,4.90,880,52.48,625,04:56.9,578.38,7769
109,Alex MCCUNE,4/7/1993,USA,1,"Azusa, CA (USA)",4/17/2014,1090,10.89,3.1,885,7.17,0.8,854,12.85,658,1.90,714,50.41,796,14.78,0.8,876,41.69,699,5.10,941,59.46,730,04:50.6,615.61,7768
116,Keisuke OKUDA,10/23/1996,JPN,2,"Municipal Stadium, Nagano (JPN)",6/13/2021,1090,10.7,0.9,929,7.35,2,898,12.67,647,1.94,749,47.59,929,14.54,-0.9,906,38.13,627,4.40,731,54.99,663,04:38.7,689.00,7768
124,Ituah ENAHORO,12/15/1997,GER,4,Filderstadt (GER),6/11/2017,1090,10.75,0.8,917,7.25,0,874,14.25,744,1.93,740,48.11,904,14.57,-2.4,902,43.56,737,4.40,731,42.68,481,04:31.0,738.62,7768
117,Paweł WIESIOŁEK,8/13/1991,POL,3,Inowroclaw (POL),7/5/2015,1090,11.08,-1.4,843,7.22,-1.3,866,13.55,701,1.98,785,49.53,836,14.49,1.6,912,42.27,711,4.50,760,56.10,679,04:41.0,674.57,7767
109,François GOURMET,12/28/1982,BEL,8,"Stade Pierre Paul Bernard, Talence (FRA)",9/20/2009,1090,11.02,0,856,7.04,0.3,823,14.08,733,1.88,696,49.12,856,14.86,1.3,867,40.37,672,4.92,886,53.96,647,04:32.0,731.90,7767
108,Roland SCHWARZL,12/10/1980,AUT,15,Götzis (AUT),6/2/2002,1090,11.19,3.2,819,7.49,0.3,932,14.59,765,1.85,670,50.52,791,14.91,0.7,860,41.12,687,5.00,910,52.61,627,04:36.0,706.45,7767
104,Tom BECHERT,7/2/1987,GER,1,"Princeton, NJ (USA)",5/11/2013,1090,11.31,0,793,6.92,3.7,795,13.90,722,2.02,822,50.04,813,14.78,0,876,42.07,707,5.15,957,49.86,587,04:37.7,695.41,7767
88,Nikolay TISHCHENKO,2/4/1977,RUS,2,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",7/3/2005,1090,11.02,0.9,856,7.63,0.6,967,13.53,700,1.98,785,50.45,794,14.45,1,917,43.97,746,4.50,760,47.95,558,04:39.4,684.89,7767
100,Romain BARRAS,8/1/1980,FRA,6,Tallinn (EST),7/4/2004,1090,11.4,2.8,774,6.84,0.7,776,14.12,736,1.94,749,50.05,812,14.67,-0.6,890,43.79,742,4.50,760,61.92,767,04:27.7,760.14,7766
105,José MENDIETA,10/16/1991,CUB,2,Ottawa (CAN),6/2/2013,1090,10.98,1.3,865,7.27,3.6,878,14.95,787,1.88,696,49.75,826,14.41,0.6,922,40.84,682,4.40,731,60.22,741,04:46.9,638.23,7766
110,Chris RANDOLPH,4/25/1984,USA,4,"Eugene, OR (USA)",6/26/2009,1090,11.33,0.9,789,7.21,1.8,864,13.76,714,2.02,822,49.38,843,14.88,0.9,864,39.36,652,4.90,880,55.01,663,04:40.8,675.89,7766
117,Baptiste THIERY,6/29/2001,FRA,16,"Mösle-Stadium, Götzis (AUT)",5/30/2021,1090,10.9,-0.2,883,7.04,0.2,823,11.74,591,1.91,723,48.78,872,15.14,0.5,833,40.86,682,5.40,1035,49.66,584,04:30.7,740.45,7766
96,Anderson ESTEVAO VENANCIO,1/6/1987,BRA,1,São Paulo (BRA),9/18/2010,1090,10.77,1.1,912,7.22,-0.7,866,13.52,699,2.02,822,49.31,847,14.92,-2,859,39.25,649,4.50,760,61.62,762,04:55.0,589.53,7765
93,Chris HELWICK,3/18/1985,USA,1,"Fayetteville, AR (USA)",5/14/2006,1090,11.24,1.8,808,7.00,3.2,814,13.46,695,2.03,831,51.09,765,15.02,0.5,847,42.04,706,4.80,849,59.54,731,04:34.0,719.32,7765
116,Adrian KREBS,6/8/1977,SUI,12,Arles (FRA),7/1/2001,1090,10.96,-1.8,870,7.17,-1.7,854,14.39,752,1.92,731,49.20,852,14.60,5.1,899,43.97,746,4.40,731,55.75,674,04:43.8,657.00,7765
142,Andrey RODIKOV,2/4/2000,RUS,4,"Olympic Stadium, Cheboksary (RUS)",8/3/2022,1090,11.11,-1.1,836,7.17,0.3,854,12.52,638,2.02,822,50.53,790,14.55,-0.6,905,39.82,661,4.90,880,53.42,639,04:30.6,740.91,7765
126,Austin BAHNER,7/7/1991,USA,2,"Chula Vista, CA (USA)",5/29/2016,1090,10.8,1.1,906,7.49,1.1,932,12.96,665,1.85,670,49.34,845,15.52,1.8,788,47.08,810,4.80,849,53.39,639,04:43.0,661.71,7765
90,Óscar GONZÁLEZ,8/8/1976,ESP,1,Murcia (ESP),6/5/2005,1090,11.36,,782,7.36,,900,13.81,717,2.07,868,49.66,830,14.82,,871,39.85,662,4.50,760,52.87,631,04:30.1,744.78,7765
128,Yunior DIAZ,4/28/1987,CUB,13,"Mösle-Stadium, Götzis (AUT)",5/27/2012,1090,10.99,-1.5,863,7.33,1.1,893,14.17,739,1.91,723,47.16,950,14.95,1.4,856,41.52,696,4.26,691,52.82,630,04:33.1,724.75,7765
84,Lysias EDMONDS,12/4/1982,USA,8,"Eugene, OR (USA)",6/30/2008,1090,10.92,0.1,878,6.88,1.4,785,12.43,633,1.99,794,47.80,919,14.30,0.8,936,38.52,635,4.90,880,51.60,612,04:37.9,693.95,7765
101,Óscar GONZÁLEZ,8/8/1976,ESP,1,Castellón (ESP),6/6/2004,1090,11.03,1.4,854,7.37,0.5,903,13.29,685,2.07,868,50.33,799,15.09,0,839,41.52,696,4.50,760,51.19,606,04:28.5,755.24,7765
118,Shun TAUE,5/30/1997,JPN,2,"Prefectural Stadium, Kagoshima (JPN)",5/3/2021,1090,10.98,-0.7,865,7.28,1.1,881,12.54,639,1.86,679,49.42,842,14.00,2.1,975,38.31,630,4.50,760,59.07,724,04:26.3,769.71,7764
118,Florian GEFFROUAIS,12/5/1988,FRA,,Aubagne (FRA),5/3/2015,1090,11.21,-1.7,814,6.91,2.4,792,15.62,828,1.95,758,49.40,842,15.04,1.4,845,38.86,641,4.70,819,53.28,637,04:23.5,788.53,7764
91,Sergiy ANDROSOVYCH,5/27/1983,UKR,1,Kyiv (UKR),7/25/2005,1090,11.01,-0.7,858,7.19,0.8,859,13.95,725,1.94,749,49.21,851,15.41,-0.4,801,42,705,4.70,819,52.63,628,04:26.3,769.37,7764
125,Gaël QUERIN,6/26/1987,FRA,20,"Mösle-Stadium, Götzis (AUT)",5/28/2017,1090,11.26,2.8,804,7.32,0.5,891,13.39,691,1.88,696,49.09,857,14.71,-1.2,885,39.49,654,4.60,790,51.22,607,04:08.9,889.49,7764
110,Maxime MAUGEIN,9/27/1992,FRA,4,Reims (FRA),7/12/2014,1090,11.01,1.2,858,7.17,1.5,854,13.25,682,1.96,767,50.19,806,14.51,1.1,910,40,665,4.80,849,51.07,604,04:26.3,769.57,7764
